date,symb,clos,stge,wrsi,ws30,volu,DlPer,rvol,vspk,ascr,arnk,chan,g200,zone,rsi,delt,bbup,vtrd,bbbw,bbsq,g050,g020,adx,open,bbdn,shgh,slw,high,low,eqb,s020,s050,s100,s200,h52h,l52l,vrnk,rrnk,tren,tstr,vola,mpat,pcon,psta,pend,ppnt,xpat,patt,obv,sect
2024-08-29,TATAMTRDVR,768.65,Unknown,74.93,,11092778,80.79,1.92,False,852.65,1.0,3.06,False,Near Premium,62.27,4.43,False,Increasing,0.1132,False,True,True,13.74,745.8,False,793.0,603.05,774.45,740.6,698.02,738.75,709.57,,,804.3,560.35,9.0,81.0,Sideways,Weak,35.23,Insufficient Data,0,,,,,Insufficient Data,49123846,NO DATA
2024-10-09,IDFC,107.97,Unknown,38.3,,65270372,68.91,5.41,True,704.72,2.0,-1.88,False,Discount,41.64,13.28,False,Increasing,0.0468,False,False,False,22.76,110.04,False,123.73,104.87,110.63,107.36,114.3,110.38,110.27,,,124.5,104.5,1.0,14.0,Sideways,Moderate,20.24,Rounding Top,75,13-08-2024,09-10-2024,Start:13-08-2024@106.28 ; Q1:28-08-2024@111.95 ; Mid:11-09-2024@108.08 ; Q3:25-09-2024@109.87 ; End:09-10-2024@107.97,,Rounding Top(75),-111204265,NO DATA
2025-08-26,KSB,840.3,Stage 2 (Uptrend),56.12,768.12,7958826,7.57,17.62,True,668.78,3.0,4.19,True,Equilibrium,55.73,12.29,False,Increasing,0.1014,False,True,True,19.07,806.5,False,1005.33,599.1,912.0,790.25,802.21,820.19,833.43,805.29,768.58,958.0,582.25,13.0,1.0,Sideways,Moderate,26.06,Double Top,82,06-06-2025,11-07-2025,P1:06-06-2025@862.65 ; P2:11-07-2025@879.75,Rounding Top(75),Double Top(82) | Rounding Top(75),18891301,"Machinery, Equipment & Components"
2025-08-26,APOLLO,243.3,Stage 2 (Uptrend),77.21,155.05,21913532,19.94,1.64,False,533.16,4.0,-3.25,True,Premium,77.48,4.59,False,Increasing,0.482,False,True,True,36.0,251.48,False,250.74,91.22,253.2,241.01,170.98,193.21,190.11,167.39,140.46,255.0,87.99,7.0,99.0,Uptrend,Strong,63.57,Flag Pattern (Bull Flag),84,17-12-2024,28-01-2025,PoleS:17-12-2024@96.61 ; PoleE:08-01-2025@133.55 ; Consol:28-01-2025@118.93,Rounding Bottom(79),Flag Pattern (Bull Flag)(84) | Rounding Bottom(79),654222711,Aerospace & Defense
2025-08-26,EDELWEISS,107.92,Stage 1/3 (Neutral),54.35,97.62,46648297,29.02,4.93,True,503.43,5.0,3.77,True,Near Premium,60.76,25.84,True,Increasing,0.1551,False,True,True,31.57,104.0,False,142.05,60.52,111.0,102.6,101.29,98.54,106.84,99.33,104.32,145.53,73.5,2.0,18.0,Downtrend,Strong,46.31,Rounding Top,78,13-05-2025,26-08-2025,Start:13-05-2025@86.44 ; Q1:06-06-2025@105.6 ; Mid:03-07-2025@115.85 ; Q3:30-07-2025@103.95 ; End:26-08-2025@107.92,,Rounding Top(78),500413471,Investment Banking & Investment Services
2025-03-21,ISEC,896.2,Stage 2 (Uptrend),62.36,845.35,5383172,78.34,7.03,True,482.44,6.0,1.38,True,Premium,77.62,2.85,False,Increasing,0.1484,False,True,True,28.05,884.0,False,898.15,687.25,899.1,878.4,792.7,828.27,827.65,844.02,822.48,922.45,672.05,20.0,12.0,Uptrend,Strong,21.69,Double Bottom,82,24-01-2025,07-03-2025,P1:24-01-2025@804.2 ; P2:07-03-2025@796.0,Falling Wedge(81) | Rounding Bottom(75) | Descending Channel(73),Double Bottom(82) | Falling Wedge(81) | Rounding Bottom(75) | Descending Channel(73),26312827,NO DATA
2025-08-26,IZMO,700.05,Stage 2 (Uptrend),78.23,348.47,3169096,12.84,5.43,True,221.85,7.0,8.7,True,Premium,86.47,1.53,False,Increasing,0.8935,False,True,True,39.72,644.0,False,700.05,241.75,710.9,616.3,470.9,430.31,406.57,353.23,388.45,710.9,229.7,28.0,13.0,Uptrend,Strong,119.75,Symmetrical Triangle,78,09-05-2025,01-08-2025,H1:16-05-2025@327.8 ; H2:18-07-2025@421.9 ; L1:09-05-2025@275.6 ; L2:01-08-2025@360.75,,Symmetrical Triangle(78),15970762,Software & IT Services
2025-08-26,SHK,240.65,Stage 2 (Uptrend),54.22,212.19,7934311,15.58,9.89,True,190.94,8.0,7.43,True,Equilibrium,54.9,28.43,False,Increasing,0.2421,False,True,True,23.27,224.0,False,327.3,162.91,252.1,224.0,245.1,235.89,239.07,226.69,227.26,336.25,156.61,14.0,6.0,Sideways,Moderate,40.58,Flag Pattern (Bear Flag),80,17-12-2024,28-01-2025,PoleS:17-12-2024@271.55 ; PoleE:08-01-2025@227.72 ; Consol:28-01-2025@201.32,Broadening Formation(72),Flag Pattern (Bear Flag)(80) | Broadening Formation(72),51051966,Chemicals
2025-08-26,FORCEMOT,19952.0,Stage 2 (Uptrend),80.22,12079.17,72783,32.64,0.71,False,145.22,9.0,-1.23,True,Near Premium,58.62,9.27,False,Decreasing,0.3046,False,True,True,53.29,20200.0,False,21897.0,6209.5,20294.0,19559.0,14053.25,18947.3,17004.94,13729.42,10341.77,21990.0,6125.0,388.0,390.0,Uptrend,Strong,54.69,No Clear Pattern,0,,,,,No Clear Pattern,5630229,Automobiles & Auto Parts
2024-10-15,TV18BRDCST,45.27,Unknown,51.76,,31095065,39.47,3.3,True,140.77,10.0,6.02,False,Equilibrium,52.03,16.61,False,Increasing,0.1857,False,False,True,17.11,42.7,False,51.59,40.59,45.95,42.7,46.09,44.25,46.46,,,54.29,38.65,4.0,36.0,Sideways,Moderate,48.48,Rounding Top,75,22-07-2024,15-10-2024,Start:22-07-2024@41.22 ; Q1:12-08-2024@46.3 ; Mid:03-09-2024@49.53 ; Q3:24-09-2024@45.13 ; End:15-10-2024@45.27,,Rounding Top(75),196467336,NO DATA
