date,symb,clos,stge,wrsi,ws30,volu,DlPer,rvol,vspk,ascr,arnk,chan,g200,zone,rsi,delt,bbup,vtrd,bbbw,bbsq,g050,g020,adx,open,bbdn,shgh,slw,high,low,eqb,s020,s050,s100,s200,h52h,l52l,vrnk,rrnk,tren,tstr,vola,mpat,pcon,psta,pend,ppnt,xpat,patt,obv,sect
2026-05-27,COALINDIA,463.05,Stage 2 (Uptrend),58.32,427.31,117042535,38.79,7.33,True,5419.65,1.0,7.94,True,Near Premium,53.71,5.74,False,Increasing,0.0712,False,True,False,15.76,429.0,False,481.45,354.2,468.3,428.4,417.82,464.42,455.24,443.94,415.73,491.25,368.65,6.0,5.0,Sideways,Moderate,19.04,Ascending Channel,77,24-10-2025,01-05-2026,UL1:24-10-2025@394.05 ; UL2:30-01-2026@440.75 ; UL3:20-03-2026@468.15 ; UL4:01-05-2026@481.45 ; LL1:07-11-2025@376.0 ; LL2:28-11-2025@376.15 ; LL3:13-02-2026@408.95 ; LL4:10-04-2026@434.1,Broadening Formation(72),Ascending Channel(77) | Broadening Formation(72),993489995,Coal
2026-05-27,HDFCBANK,758.65,Stage 4 (Downtrend),30.28,884.12,63680153,57.82,1.7,False,4831.09,2.0,-1.41,False,Near Discount,43.43,25.66,False,Increasing,0.066,False,False,False,16.41,769.5,False,1009.5,731.55,773.9,756.9,870.52,770.51,776.31,841.5,911.93,1020.5,726.65,12.0,64.0,Sideways,Moderate,24.46,Broadening Formation,72,07-11-2025,10-04-2026,H1:28-11-2025@1007.6 ; H2:10-04-2026@810.3 ; L1:07-11-2025@982.3 ; L2:03-04-2026@750.9,Descending Channel(61),Broadening Formation(72) | Descending Channel(61),-233221535,Banking Services
2026-05-27,ATGL,808.55,Stage 2 (Uptrend),75.23,581.4,57324845,10.68,7.95,True,4635.0,3.0,12.33,True,Premium,81.59,2.58,False,Increasing,0.2842,False,True,True,35.54,719.8,False,808.55,467.9,830.0,714.05,638.22,642.55,597.99,563.62,587.3,830.0,462.8,13.0,4.0,Uptrend,Strong,62.51,Inverse Head and Shoulders,92,23-01-2026,03-04-2026,LS:23-01-2026@517.45 ; H:06-03-2026@482.65 ; RS:03-04-2026@520.05,Rising Wedge(89) | Diamond Top(84),Inverse Head and Shoulders(92) | Rising Wedge(89) | Diamond Top(84),464400864,Natural Gas Utilities
2026-05-27,JPPOWER,22.87,Stage 2 (Uptrend),68.73,17.23,1285571409,22.84,6.44,True,2940.1,4.0,18.93,True,Near Premium,74.34,17.44,True,Increasing,0.2267,False,True,True,20.48,19.23,False,27.23,13.03,22.95,19.18,20.13,19.04,17.84,16.42,17.38,27.7,13.15,1.0,9.0,Sideways,Moderate,82.51,Broadening Formation,75,17-10-2025,01-05-2026,H1:21-11-2025@20.01 ; H2:01-05-2026@19.72 ; L1:17-10-2025@17.91 ; L2:06-03-2026@13.86,,Broadening Formation(75),11077543409,Electrical Utilities & IPPs
2026-05-27,ICICIBANK,1272.7,Stage 4 (Downtrend),43.94,1332.27,18366272,41.39,1.0,False,2337.48,5.0,-1.03,False,Near Discount,50.32,15.15,False,Increasing,0.0514,False,False,True,17.05,1286.0,False,1488.6,1205.9,1293.4,1266.7,1347.25,1259.24,1275.38,1323.39,1353.21,1500.0,1187.6,33.0,133.0,Sideways,Moderate,18.39,Broadening Formation,68,05-12-2025,15-05-2026,H1:05-12-2025@1392.5 ; H2:17-04-2026@1346.8 ; L1:26-12-2025@1350.4 ; L2:15-05-2026@1244.5,Diamond Top(60) | Rounding Top(59),Broadening Formation(68) | Diamond Top(60) | Rounding Top(59),756818967,Banking Services
2026-05-27,ADANIPOWER,248.91,Stage 2 (Uptrend),81.73,164.18,85859567,21.19,1.76,False,2137.13,6.0,0.53,True,Premium,76.53,1.48,False,Increasing,0.1616,False,True,True,34.75,247.6,False,248.91,91.53,252.65,245.5,170.22,225.05,196.6,169.64,159.63,252.65,126.4,8.0,55.0,Uptrend,Strong,42.45,Broadening Formation,72,26-09-2025,08-05-2026,H1:24-10-2025@167.72 ; H2:08-05-2026@225.33 ; L1:26-09-2025@146.25 ; L2:06-03-2026@138.99,,Broadening Formation(72),2231568941,Electrical Utilities & IPPs
2026-05-27,BSE,4248.4,Stage 2 (Uptrend),81.28,3046.09,4332377,35.8,1.01,False,1840.57,7.0,-4.25,True,Near Premium,69.31,4.46,False,Decreasing,0.2204,False,True,True,59.71,4437.0,False,4403.3,651.49,4446.8,4236.1,2527.39,3999.61,3490.27,3150.47,2822.63,4446.8,2021.5,103.0,131.0,Uptrend,Strong,29.72,No Clear Pattern,0,,,,,No Clear Pattern,394806075,Investment Banking & Investment Services
2026-05-27,RELIANCE,1350.5,Stage 4 (Downtrend),43.94,1439.07,13215138,35.55,0.76,False,1784.7,8.0,-0.18,False,Equilibrium,44.88,16.21,False,Decreasing,0.129,False,False,False,17.4,1353.0,False,1592.3,1161.9,1361.0,1348.6,1377.1,1385.15,1370.08,1393.86,1428.34,1611.8,1290.0,40.0,197.0,Sideways,Moderate,23.41,Cup and Handle,87,09-03-2026,19-05-2026,RimL:09-03-2026@1424.0 ; Btm:07-04-2026@1304.6 ; RimR:05-05-2026@1463.6 ; Hdl:19-05-2026@1322.7,Falling Wedge(85) | Triple Top(70) | Double Top(66),Cup and Handle(87) | Falling Wedge(85) | Triple Top(70) | Double Top(66),248835852,Oil & Gas
2026-05-27,BHARTIARTL,1852.2,Stage 4 (Downtrend),45.22,1960.0,8653155,53.77,0.86,False,1602.74,9.0,0.64,False,Near Discount,49.1,14.82,False,Decreasing,0.1054,False,True,False,19.38,1840.4,False,2162.7,1756.8,1869.4,1840.4,1959.75,1854.17,1840.62,1899.27,1956.01,2174.5,1740.5,59.0,162.0,Sideways,Moderate,31.27,Triple Bottom,90,13-03-2026,24-04-2026,P1:13-03-2026@1803.4 ; P2:03-04-2026@1789.7 ; P3:24-04-2026@1814.5,Double Bottom(86) | Diamond Top(60),Triple Bottom(90) | Double Bottom(86) | Diamond Top(60),229512435,Telecommunications Services
2026-05-27,HFCL,173.92,Stage 2 (Uptrend),90.53,84.24,79961509,26.14,0.79,False,1390.69,10.0,7.03,True,Premium,80.61,1.43,True,Increasing,0.3939,False,True,True,59.08,162.49,False,173.92,60.95,176.44,161.19,117.44,143.53,107.1,87.67,79.85,176.44,59.82,10.0,186.0,Uptrend,Strong,71.49,Symmetrical Triangle,77,20-02-2026,27-03-2026,H1:20-02-2026@71.31 ; H2:13-03-2026@71.97 ; L1:27-02-2026@68.51 ; L2:27-03-2026@70.76,,Symmetrical Triangle(77),4690844183,Communications & Networking
