symbols,SPLIT_DATE,SPLIT_RATIO,PREV_CLOSE,CURR_CLOSE
ABFRL,2025-05-22,2.99,268.95,89.85
ADANIPOWER,2025-09-22,4.17,709.4,170.25
AIIL,2026-01-13,4.64,3098.6,667.9
ANANDRATHI,2025-03-05,2.14,4056.6,1895.7
ASHOKLEY,2025-07-16,2.01,250.9,124.6
BAJFINANCE,2025-06-16,9.95,9331.0,938.0
BDL,2024-05-24,1.85,2810.55,1523.05
BEML,2025-11-03,2.01,4399.8,2187.0
BPCL,2024-06-21,2.04,626.25,307.6
BSE,2025-05-23,2.86,6996.5,2448.0
CAMS,2025-12-05,5.1,3956.7,775.7
CANBK,2024-05-15,4.76,566.55,119.0
CDSL,2024-08-23,1.85,2898.1,1568.5
COFORGE,2025-06-04,4.93,8499.0,1724.5
DRREDDY,2024-10-28,4.97,6514.7,1311.5
ECLERX,2026-03-13,2.0,3151.8,1576.6
ELECON,2024-07-19,2.0,1280.7,641.0
GODFRYPHLP,2025-09-16,2.81,10229.0,3644.0
GPIL,2024-10-04,5.06,1046.65,206.85
HDFCAMC,2025-11-26,1.99,5336.5,2679.0
HDFCBANK,2025-08-26,2.02,1964.1,973.4
HEG,2024-10-18,5.18,2570.4,496.35
HINDPETRO,2024-06-21,1.54,523.8,340.85
HUDCO,2024-05-08,5.85,1308.0,223.75
IFCI,2024-04-09,2.02,2034.0,1006.5
IFCI,2024-04-15,2.38,2400.2,1008.0
IFCI,2024-04-22,2.36,2400.0,1015.89
IFCI,2024-04-25,2.25,2266.0,1008.87
IGL,2025-01-31,1.96,395.7,201.8
IIFL,2024-05-06,2.4,915.0,381.0
INOXWIND,2024-05-24,3.67,605.15,165.0
IRB,2026-03-30,1.85,40.93,22.14
IREDA,2024-04-09,6.73,1139.0,169.25
IREDA,2024-04-25,6.82,1141.3,167.25
IREDA,2024-05-06,7.36,1268.0,172.25
IRFC,2024-05-06,7.49,1165.99,155.65
JBMA,2025-01-31,1.88,1507.25,801.55
JINDALSAW,2024-10-09,2.02,747.65,369.25
KIMS,2024-09-13,4.95,2735.9,552.35
KOTAKBANK,2026-01-14,5.07,2132.6,421.0
LALPATHLAB,2025-12-19,2.01,2793.6,1391.6
LTF,2024-05-06,6.14,1000.0,162.9
M&MFIN,2024-04-03,1.88,1941.0,1035.0
