symbols,SPLIT_DATE,SPLIT_RATIO,PREV_CLOSE,CURR_CLOSE
AARON,2025-08-25,1.8,430.0,238.85
AARTECH,2024-08-09,2.86,212.64,74.37
AARTISURF,2023-12-07,3.9,616.5,158.0
AARTISURF,2023-12-14,3.98,629.55,158.0
AARTISURF,2023-12-27,4.06,641.15,158.0
AARTISURF,2024-01-03,4.15,751.5,181.2
AARTISURF,2024-01-15,3.15,724.0,230.0
AARTISURF,2024-01-17,3.6,697.05,193.5
AARTISURF,2024-01-19,3.29,712.45,216.8
AARTISURF,2024-02-14,2.15,674.1,313.25
AARTISURF,2024-02-19,2.15,683.0,317.95
AARTISURF,2024-03-01,2.06,670.9,325.5
AARTISURF,2024-03-11,1.98,640.25,322.6
AARTISURF,2024-03-18,2.24,592.3,265.0
AARTISURF,2024-03-20,2.31,566.75,245.5
AARTISURF,2024-03-26,2.73,584.95,214.0
AARTISURF,2024-04-02,3.07,579.5,188.6
AARTISURF,2024-04-09,2.99,619.7,207.0
AARTISURF,2024-04-18,2.67,661.65,248.0
AARTISURF,2024-04-25,2.62,633.95,242.0
AARTISURF,2024-04-30,3.3,729.7,221.4
AARTISURF,2024-05-09,2.71,677.15,250.0
AARTISURF,2024-05-16,3.17,684.6,216.0
AARTISURF,2024-05-22,3.51,676.2,192.5
AARTISURF,2024-06-10,2.7,661.55,245.0
AARTISURF,2024-06-13,2.92,694.3,237.5
AARTISURF,2024-06-18,3.19,686.65,215.0
AARTISURF,2024-06-25,2.73,695.6,255.0
AARTISURF,2024-07-01,2.92,674.55,231.0
AARTISURF,2024-07-04,3.21,691.55,215.7
AARTISURF,2024-07-08,3.17,699.55,221.0
AARTISURF,2024-07-12,3.32,718.1,216.0
AARTISURF,2024-08-09,3.27,631.05,193.0
AARTISURF,2024-08-19,4.06,633.05,156.0
AARTISURF,2024-08-21,3.4,635.75,187.2
AARTISURF,2024-08-30,3.2,642.9,201.0
AARTISURF,2024-09-03,3.33,646.75,194.0
AARTISURF,2024-09-05,3.39,657.65,194.0
AARTISURF,2024-09-11,3.36,658.35,196.2
AARTISURF,2024-09-16,2.81,639.7,227.95
AARTISURF,2024-09-23,3.88,849.85,219.0
AARTISURF,2024-10-03,3.61,830.9,230.0
AARTISURF,2024-10-07,3.32,809.55,244.0
AARTISURF,2024-10-15,3.82,778.6,204.0
AARTISURF,2024-10-22,4.26,761.65,178.6
AARTISURF,2024-10-24,4.47,728.4,163.0
AARTISURF,2024-11-04,4.5,738.25,164.0
AARTISURF,2024-11-13,4.93,670.6,136.05
AARTISURF,2024-11-21,4.51,653.75,145.0
AARTISURF,2024-11-27,4.37,633.25,145.0
AARTISURF,2024-12-04,4.46,646.95,145.0
AARTISURF,2024-12-06,4.53,656.55,145.0
AARTISURF,2024-12-17,4.53,657.75,145.05
AARTISURF,2024-12-26,4.43,642.25,145.05
AARTISURF,2025-01-10,4.59,626.55,136.55
AARTISURF,2025-01-28,5.04,565.35,112.1
AARTISURF,2025-03-04,3.57,410.35,114.9
AARTISURF,2025-03-12,2.29,450.3,196.45
AARTISURF,2025-03-26,2.17,426.5,196.45
