symbols,open,high,low,close,delivery_perc,volume,datetime
360ONE,537.0,538.55,527.05,529.1,61.62,181150,2023-11-06
360ONE,531.25,533.95,518.1,530.85,46.07,138394,2023-11-07
360ONE,535.0,539.2,528.35,535.95,51.88,123651,2023-11-08
360ONE,538.7,549.0,532.45,545.65,65.16,197801,2023-11-09
360ONE,543.8,544.85,538.15,542.8,72.9,142699,2023-11-10
360ONE,532.0,545.5,530.05,541.85,58.56,168118,2023-11-13
360ONE,532.0,545.5,530.05,541.85,58.56,168118,2023-11-14
360ONE,543.7,568.45,543.0,560.15,52.73,460958,2023-11-15
360ONE,561.0,570.0,540.05,543.1,87.01,1136970,2023-11-16
360ONE,548.45,548.45,531.55,546.5,47.32,207460,2023-11-17
360ONE,546.45,558.45,538.2,546.6,45.85,159254,2023-11-20
360ONE,547.1,557.05,546.05,550.95,76.61,405024,2023-11-21
360ONE,550.8,550.95,536.0,540.0,51.39,165069,2023-11-22
360ONE,541.95,547.35,534.3,540.3,59.63,232403,2023-11-23
360ONE,540.7,552.7,536.85,543.1,55.83,201774,2023-11-24
360ONE,540.7,552.7,536.85,543.1,55.83,201774,2023-11-27
360ONE,543.1,547.4,539.5,543.9,67.51,242257,2023-11-28
360ONE,548.45,564.0,540.3,558.85,79.73,353886,2023-11-29
360ONE,563.75,580.0,555.7,572.25,66.5,853782,2023-11-30
360ONE,575.0,588.0,574.45,585.8,61.97,468020,2023-12-01
360ONE,608.95,633.5,597.25,602.55,88.06,12215412,2023-12-04
360ONE,625.95,631.7,604.0,608.1,49.94,1609373,2023-12-05
360ONE,615.0,657.8,609.8,649.45,49.17,2168523,2023-12-06
360ONE,650.0,650.0,637.55,641.0,80.27,719592,2023-12-07
360ONE,644.8,652.0,640.0,647.55,63.76,538465,2023-12-08
360ONE,647.55,652.0,631.75,646.5,56.22,203623,2023-12-11
360ONE,642.05,649.5,627.85,644.45,52.0,290724,2023-12-12
360ONE,645.0,685.0,642.95,680.4,55.74,723930,2023-12-13
360ONE,680.0,735.0,679.95,707.5,50.06,1058144,2023-12-14
360ONE,714.45,714.45,660.0,669.95,66.98,2738968,2023-12-15
360ONE,662.9,672.0,656.55,665.25,42.6,430401,2023-12-18
360ONE,661.3,673.85,644.3,647.6,68.4,647471,2023-12-19
360ONE,650.0,656.75,631.85,641.35,78.62,1431835,2023-12-20
360ONE,634.45,643.8,627.15,635.7,39.68,238473,2023-12-21
360ONE,661.0,664.85,647.05,657.9,30.51,611023,2023-12-22
360ONE,661.0,664.85,647.05,657.9,30.51,611023,2023-12-25
360ONE,659.0,660.85,648.0,651.5,41.22,151516,2023-12-26
360ONE,657.9,678.5,647.65,674.45,52.33,614017,2023-12-27
360ONE,676.6,715.6,671.45,708.8,53.31,638810,2023-12-28
360ONE,708.0,715.0,687.1,709.85,54.1,455697,2023-12-29
360ONE,709.85,714.4,693.0,702.85,54.65,175009,2024-01-01
360ONE,695.25,699.95,675.0,676.9,61.43,348865,2024-01-02
360ONE,681.1,682.05,652.9,655.25,55.01,203415,2024-01-03
360ONE,660.0,662.05,651.25,653.85,63.55,133259,2024-01-04
360ONE,653.85,664.95,644.05,662.45,86.06,1231143,2024-01-05
360ONE,664.9,684.25,655.4,672.45,71.99,895046,2024-01-08
360ONE,674.8,680.0,671.05,674.75,82.79,481800,2024-01-09
360ONE,678.0,688.0,662.0,683.15,60.89,203133,2024-01-10
360ONE,685.0,686.9,666.2,680.35,46.24,186788,2024-01-11
360ONE,679.2,679.2,667.15,669.7,59.33,134150,2024-01-12
360ONE,673.9,673.9,658.25,660.55,63.49,140091,2024-01-15
360ONE,660.0,668.2,654.55,661.6,48.13,141899,2024-01-16
360ONE,655.0,658.45,637.65,646.55,61.37,266993,2024-01-17
360ONE,646.55,654.5,638.1,643.05,57.54,229384,2024-01-18
360ONE,650.0,659.0,626.05,628.75,55.05,277493,2024-01-19
360ONE,644.0,644.9,610.0,619.0,69.69,448657,2024-01-23
360ONE,620.0,627.0,591.5,617.0,52.76,332842,2024-01-24
