Symbol,Sector,holidays
360ONE-EQ,Investment Banking & Investment Services,22-01-2024
3MINDIA-EQ,Consumer Goods Conglomerates,26-01-2024
AADHARHFC-EQ,Banking Services,08-03-2024
AARTIIND-EQ,Chemicals,25-03-2024
AAVAS-EQ,Banking Services,29-03-2024
ABB-EQ,"Machinery, Equipment & Components",11-04-2024
ABBOTINDIA-EQ,Pharmaceuticals,17-04-2024
ABCAPITAL-EQ,Insurance,01-05-2024
ABFRL-EQ,Specialty Retailers,17-06-2024
ABREL-EQ,Paper & Forest Products,17-07-2024
ABSLAMC-EQ,Investment Banking & Investment Services,15-08-2024
ACC-EQ,Construction Materials,02-10-2024
ACE-EQ,"Machinery, Equipment & Components",01-11-2024
ACMESOLAR-EQ,Electrical Utilities & IPPs,15-11-2024
ADANIENSOL-EQ,Electrical Utilities & IPPs,20-11-2024
ADANIENT-EQ,Diversified Industrial Goods Wholesale,25-12-2024
ADANIGREEN-EQ,Electrical Utilities & IPPs,26-01-2025
ADANIPORTS-EQ,Transport Infrastructure,26-02-2025
ADANIPOWER-EQ,Electrical Utilities & IPPs,14-03-2025
AEGISLOG-EQ,Oil & Gas Related Equipment and Services,31-03-2025
AFCONS-EQ,Construction & Engineering,06-04-2025
AFFLE-EQ,Media & Publishing,10-04-2025
AIAENG-EQ,"Machinery, Equipment & Components",14-04-2025
AIIL-EQ,Investment Banking & Investment Services,18-04-2025
AJANTPHARM-EQ,Pharmaceuticals,01-05-2025
AKUMS-EQ,Pharmaceuticals,07-06-2025
ALIVUS-EQ,Pharmaceuticals,06-07-2025
ALKEM-EQ,Pharmaceuticals,15-08-2025
ALKYLAMINE-EQ,Chemicals,27-08-2025
ALOKINDS-EQ,Textiles & Apparel,02-10-2025
AMBER-EQ,"Machinery, Equipment & Components",21-10-2025
AMBUJACEM-EQ,Construction Materials,22-10-2025
ANANDRATHI-EQ,Investment Banking & Investment Services,05-11-2025
ANANTRAJ-EQ,Real Estate Operations,25-12-2025
ANGELONE-EQ,Investment Banking & Investment Services,
APARINDS-EQ,"Machinery, Equipment & Components",
APLAPOLLO-EQ,Metals & Mining,
APLLTD-EQ,Pharmaceuticals,
APOLLOHOSP-EQ,Healthcare Providers & Services,
APOLLOTYRE-EQ,Automobiles & Auto Parts,
APTUS-EQ,Banking Services,
ARE&M-EQ,"Machinery, Equipment & Components",
ASAHIINDIA-EQ,Automobiles & Auto Parts,
ASHOKLEY-EQ,"Machinery, Equipment & Components",
ASIANPAINT-EQ,Chemicals,
ASTERDM-EQ,Healthcare Providers & Services,
ASTRAL-EQ,Homebuilding & Construction Supplies,
ASTRAZEN-EQ,Pharmaceuticals,
ATGL-EQ,Natural Gas Utilities,
ATUL-EQ,Chemicals,
AUBANK-EQ,Banking Services,
AUROPHARMA-EQ,Pharmaceuticals,
AWL-EQ,Food & Tobacco,
AXISBANK-EQ,Banking Services,
BAJAJ-AUTO-EQ,Automobiles & Auto Parts,
BAJAJFINSV-EQ,Banking Services,
BAJAJHFL-EQ,Banking Services,
BAJAJHLDNG-EQ,Holding Companies,
BAJFINANCE-EQ,Banking Services,
BALKRISIND-EQ,Automobiles & Auto Parts,
BALRAMCHIN-EQ,Food & Tobacco,
BANDHANBNK-EQ,Banking Services,
BANKBARODA-EQ,Banking Services,
BANKINDIA-EQ,Banking Services,
BASF-EQ,Chemicals,
BATAINDIA-EQ,Textiles & Apparel,
BAYERCROP-EQ,Chemicals,
BBTC-EQ,Food & Tobacco,
BDL-EQ,Aerospace & Defense,
BEL-EQ,Aerospace & Defense,
BEML-EQ,"Machinery, Equipment & Components",
BERGEPAINT-EQ,Chemicals,
BHARATFORG-EQ,Metals & Mining,
BHARTIARTL-EQ,Telecommunications Services,
BHARTIHEXA-EQ,Telecommunications Services,
