SYMBOL,SECTOR,holidays
20MICRONS-EQ,Full Market / Other,22-01-2024
21STCENMGM-EQ,Full Market / Other,26-01-2024
3BBLACKBIO-EQ,Full Market / Other,08-03-2024
3IINFOLTD-EQ,Full Market / Other,25-03-2024
3PLAND-EQ,Full Market / Other,29-03-2024
5PAISA-EQ,Full Market / Other,11-04-2024
63MOONS-EQ,Full Market / Other,17-04-2024
A2ZINFRA-EQ,Full Market / Other,01-05-2024
AAATECH-EQ,Full Market / Other,17-06-2024
AARNAV-EQ,Full Market / Other,17-07-2024
AARON-EQ,Full Market / Other,15-08-2024
AARTECH-EQ,Full Market / Other,02-10-2024
AARTIDRUGS-EQ,Full Market / Other,01-11-2024
AARTIPHARM-EQ,Full Market / Other,15-11-2024
AARTISURF-EQ,Full Market / Other,20-11-2024
AARVI-EQ,Full Market / Other,25-12-2024
ABCOTS-EQ,Full Market / Other,26-01-2025
ABINFRA-EQ,Full Market / Other,26-02-2025
ABMINTLLTD-EQ,Full Market / Other,14-03-2025
ABMKNO-EQ,Full Market / Other,31-03-2025
ACCELYA-EQ,Full Market / Other,06-04-2025
ACCURACY-EQ,Full Market / Other,10-04-2025
ACEINTEG-EQ,Full Market / Other,14-04-2025
ACI-EQ,Full Market / Other,18-04-2025
ACL-EQ,Full Market / Other,01-05-2025
ACSTECH-EQ,Full Market / Other,07-06-2025
ADFFOODS-EQ,Full Market / Other,06-07-2025
ADL-EQ,Full Market / Other,15-08-2025
ADOR-EQ,Full Market / Other,27-08-2025
ADROITINFO-EQ,Full Market / Other,02-10-2025
ADSL-EQ,Full Market / Other,21-10-2025
ADVAIT-EQ,Full Market / Other,22-10-2025
ADVANCE-EQ,Full Market / Other,05-11-2025
ADVANIHOTR-EQ,Full Market / Other,25-12-2025
ADVENTHTL-EQ,Full Market / Other,
ADVENZYMES-EQ,Full Market / Other,
AEPL-EQ,Full Market / Other,
AEQUS-EQ,Full Market / Other,
AEROENTER-EQ,Full Market / Other,
AEROFLEX-EQ,Full Market / Other,
AERONEU-EQ,Full Market / Other,
AETHER-EQ,Full Market / Other,
AFSL-EQ,Full Market / Other,
AGARIND-EQ,Full Market / Other,
AGARWALEYE-EQ,Full Market / Other,
AGI-EQ,Full Market / Other,
AGIIL-EQ,Full Market / Other,
AGRITECH-EQ,Full Market / Other,
AGROPHOS-EQ,Full Market / Other,
AHCL-EQ,Full Market / Other,
AHLADA-EQ,Full Market / Other,
AHLEAST-EQ,Full Market / Other,
